model_name,task_label,dataset_name,method_id,display_name,level,layer_idx,stage,selected,selection_score,fdr,loo_accuracy,cv_accuracy,weight,mean_vote_weight,mean_margin,val_accuracy,shrinkage_alpha
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,24,late,1,,,,,,0.04669447618536651,12487.805068359376,0.94,0.03675475737817157
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,24,late,1,,,,,,0.02992692373227328,7966.07009765625,0.94,0.02816908002433549
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,18,mid,1,,,,,,0.00363677414956328,944.743701171875,0.93,0.1659856471158932
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,25,late,1,,,,,,0.01848570087691769,5070.170861816407,0.92,0.2048774384320626
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,18,mid,1,,,,,,0.005908335082931444,1471.6441015625,0.92,0.13827395442964802
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,18,mid,1,,,,,,0.00515502612299315,1284.1112939453126,0.92,0.17635578000773258
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,18,mid,1,,,,,,0.0036590294610778073,961.304052734375,0.91,0.1462380949680708
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,25,late,1,,,,,,0.017063214901136235,4593.157524414062,0.9,0.19782096327306395
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,17,mid,1,,,,,,0.002759643221506849,729.3988354492187,0.86,0.2003053496763005
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,17,mid,1,,,,,,0.0024923011422652054,663.1521728515625,0.86,0.16324781246666653
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,17,mid,1,,,,,,0.0029993714860029287,793.4776879882812,0.85,0.2135416619848818
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,2,early,1,,,,,,0.005820300860796124,1503.4879296875,0.84,0.13924143308558473
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,16,mid,1,,,,,,0.003250707796687493,880.48380859375,0.84,0.15495175969035604
